"시도별","산업별",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"시도별","산업별",총 사업체 수,총 사업체 수,총 사업체 수,20대 이하,20대 이하,20대 이하,30대,30대,30대,40대,40대,40대,50대,50대,50대,60대 이상,60대 이상,60대 이상
"시도별","산업별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"부산광역시","사업시설관리, 사업지원 및 임대 서비스업",7034,-977,-12.2,331,-99,-23.0,1289,-236,-15.5,2159,-290,-11.8,1995,-187,-8.6,1260,-165,-11.6
"부산광역시","교육 서비스업",11945,754,6.7,506,77,17.9,2793,270,10.7,5033,288,6.1,2909,81,2.9,704,38,5.7
"부산광역시","예술, 스포츠 및 여가관련 서비스업",5887,31,0.5,312,52,20.0,1172,79,7.2,1463,-27,-1.8,1703,-36,-2.1,1237,-37,-2.9
"부산광역시","협회 및 단체, 수리 및 기타 개인서비스업",24723,-59,-0.2,1258,189,17.7,4078,178,4.6,7462,-99,-1.3,6558,-238,-3.5,5367,-89,-1.6
"대구광역시","전산업",198579,-4726,-2.3,9848,584,6.3,31315,436,1.4,56529,-1707,-2.9,62934,-2422,-3.7,37953,-1617,-4.1
"대구광역시","제조업",29183,-663,-2.2,647,29,4.7,2658,40,1.5,7155,-133,-1.8,11376,-340,-2.9,7347,-259,-3.4
"대구광역시","건설업",18007,-1,0.0,458,59,14.8,1676,51,3.1,4914,-30,-0.6,7333,-95,-1.3,3626,14,0.4
"대구광역시","도매 및 소매업",66854,-3004,-4.3,3842,282,7.9,11582,-128,-1.1,19268,-1100,-5.4,19335,-1256,-6.1,12827,-802,-5.9
"대구광역시","숙박 및 음식점업",33306,-453,-1.3,2540,38,1.5,6475,240,3.8,8113,-155,-1.9,10014,-268,-2.6,6164,-308,-4.8
"대구광역시","정보통신업",1710,41,2.5,107,3,2.9,346,13,3.9,718,8,1.1,388,3,0.8,151,14,10.2
"대구광역시","부동산업",7562,13,0.2,106,18,20.5,515,14,2.8,1783,7,0.4,2888,-14,-0.5,2270,-12,-0.5
"대구광역시","전문과학기술서비스업",4259,-152,-3.4,238,25,11.7,798,19,2.4,1544,-127,-7.6,1130,-36,-3.1,549,-33,-5.7
"대구광역시","사업시설관리, 사업지원 및 임대 서비스업",4400,-456,-9.4,216,-60,-21.7,776,-82,-9.6,1360,-115,-7.8,1349,-113,-7.7,699,-86,-11.0
"대구광역시","교육 서비스업",9950,391,4.1,513,63,14.0,2623,193,7.9,4237,124,3.0,2196,17,0.8,381,-6,-1.6
"대구광역시","예술, 스포츠 및 여가관련 서비스업",5007,-93,-1.8,209,7,3.5,963,36,3.9,1353,-18,-1.3,1548,-93,-5.7,934,-25,-2.6
"대구광역시","협회 및 단체, 수리 및 기타 개인서비스업",18341,-349,-1.9,972,120,14.1,2903,40,1.4,6084,-168,-2.7,5377,-227,-4.1,3005,-114,-3.7
"인천광역시","전산업",212661,1008,0.5,12263,1336,12.2,36294,1951,5.7,58059,34,0.1,65366,-1255,-1.9,40679,-1058,-2.5
"인천광역시","제조업",28141,-382,-1.3,784,-29,-3.6,2642,98,3.9,6453,-41,-0.6,10987,-204,-1.8,7275,-206,-2.8
"인천광역시","건설업",23393,818,3.6,771,101,15.1,2464,226,10.1,6455,226,3.6,8666,172,2.0,5037,93,1.9
"인천광역시","도매 및 소매업",70562,40,0.1,5347,860,19.2,14283,1031,7.8,19484,-194,-1.0,19112,-975,-4.9,12336,-682,-5.2
"인천광역시","숙박 및 음식점업",35893,102,0.3,2608,168,6.9,6574,227,3.6,8664,21,0.2,10616,-128,-1.2,7431,-186,-2.4
"인천광역시","정보통신업",2836,225,8.6,216,50,30.1,648,64,11.0,1121,39,3.6,646,37,6.1,205,35,20.6
"인천광역시","부동산업",8734,307,3.6,165,50,43.5,729,115,18.7,1816,78,4.5,3418,60,1.8,2606,4,0.2
"인천광역시","전문과학기술서비스업",4544,58,1.3,362,28,8.4,1087,17,1.6,1545,52,3.5,1056,-22,-2.0,494,-17,-3.3
"인천광역시","사업시설관리, 사업지원 및 임대 서비스업",6172,-392,-6.0,324,-76,-19.0,1293,-60,-4.4,1881,-131,-6.5,1689,-86,-4.8,985,-39,-3.8
"인천광역시","교육 서비스업",8469,523,6.6,463,96,26.2,2365,186,8.5,3522,189,5.7,1746,40,2.3,373,12,3.3
"인천광역시","예술, 스포츠 및 여가관련 서비스업",6177,-108,-1.7,269,5,1.9,1077,-30,-2.7,1580,-53,-3.2,2094,21,1.0,1157,-51,-4.2
"인천광역시","협회 및 단체, 수리 및 기타 개인서비스업",17740,-183,-1.0,954,83,9.5,3132,77,2.5,5538,-152,-2.7,5336,-170,-3.1,2780,-21,-0.7
"광주광역시","전산업",115311,-1034,-0.9,7150,665,10.3,18890,340,1.8,34598,-570,-1.6,35385,-983,-2.7,19288,-486,-2.5
"광주광역시","제조업",9848,-49,-0.5,311,6,2.0,1007,29,3.0,2788,-12,-0.4,3732,-36,-1.0,2010,-36,-1.8
"광주광역시","건설업",14246,437,3.2,475,100,26.7,1413,98,7.5,4360,72,1.7,5611,84,1.5,2387,83,3.6
"광주광역시","도매 및 소매업",38314,-1318,-3.3,2606,282,12.1,6464,-22,-0.3,11154,-438,-3.8,11193,-628,-5.3,6897,-512,-6.9
"광주광역시","숙박 및 음식점업",19376,-143,-0.7,1905,81,4.4,3928,46,1.2,5067,-61,-1.2,5443,-151,-2.7,3033,-58,-1.9
"광주광역시","정보통신업",1013,75,8.0,87,9,11.5,206,26,14.4,378,15,4.1,243,18,8.0,99,7,7.6
"광주광역시","부동산업",5550,-18,-0.3,111,26,30.6,435,21,5.1,1581,-35,-2.2,1957,-28,-1.4,1466,-2,-0.1
"광주광역시","전문과학기술서비스업",2815,-4,-0.1,148,18,13.8,593,-5,-0.8,1114,-25,-2.2,661,-5,-0.8,299,13,4.5
"광주광역시","사업시설관리, 사업지원 및 임대 서비스업",3141,-115,-3.5,162,-22,-12.0,552,-29,-5.0,999,-38,-3.7,911,-47,-4.9,517,21,4.2
"광주광역시","교육 서비스업",5838,177,3.1,324,23,7.6,1518,94,6.6,2509,78,3.2,1212,-16,-1.3,275,-2,-0.7
"광주광역시","예술, 스포츠 및 여가관련 서비스업",3620,-33,-0.9,213,27,14.5,687,0,0.0,980,-15,-1.5,1164,-52,-4.3,576,7,1.2
"광주광역시","협회 및 단체, 수리 및 기타 개인서비스업",11550,-43,-0.4,808,115,16.6,2087,82,4.1,3668,-111,-2.9,3258,-122,-3.6,1729,-7,-0.4
"대전광역시","전산업",112177,-1521,-1.3,6609,617,10.3,18360,152,0.8,31809,-604,-1.9,34441,-942,-2.7,20958,-744,-3.4
"대전광역시","제조업",9635,-92,-0.9,307,13,4.4,1079,-4,-0.4,2583,-36,-1.4,3339,-41,-1.2,2327,-24,-1.0
"대전광역시","건설업",12044,121,1.0,340,46,15.6,1105,20,1.8,3402,-5,-0.1,4649,27,0.6,2548,33,1.3
"대전광역시","도매 및 소매업",38991,-1215,-3.0,2466,247,11.1,6642,-6,-0.1,11242,-372,-3.2,11458,-597,-5.0,7183,-487,-6.3
"대전광역시","숙박 및 음식점업",20342,-293,-1.4,1755,74,4.4,3983,39,1.0,4962,-35,-0.7,5936,-201,-3.3,3706,-170,-4.4
"대전광역시","정보통신업",1744,7,0.4,128,7,5.8,389,8,2.1,666,-37,-5.3,414,24,6.2,147,5,3.5
"대전광역시","부동산업",4328,66,1.5,98,59,151.3,349,29,9.1,885,-15,-1.7,1556,-15,-1.0,1440,8,0.6
"대전광역시","전문과학기술서비스업",2584,-42,-1.6,160,12,8.1,525,-9,-1.7,931,-62,-6.2,669,31,4.9,299,-14,-4.5
"대전광역시","사업시설관리, 사업지원 및 임대 서비스업",3043,-197,-6.1,146,-11,-7.0,603,-59,-8.9,939,-61,-6.1,909,-57,-5.9,446,-9,-2.0
"대전광역시","교육 서비스업",5277,300,6.0,336,61,22.2,1370,87,6.8,2083,121,6.2,1214,16,1.3,274,15,5.8
"대전광역시","예술, 스포츠 및 여가관련 서비스업",3378,-94,-2.7,162,-12,-6.9,607,-1,-0.2,866,-17,-1.9,1168,-19,-1.6,575,-45,-7.3
"대전광역시","협회 및 단체, 수리 및 기타 개인서비스업",10811,-82,-0.8,711,121,20.5,1708,48,2.9,3250,-85,-2.5,3129,-110,-3.4,2013,-56,-2.7
"울산광역시","전산업",79505,-2148,-2.6,4061,230,6.0,12544,35,0.3,22542,-675,-2.9,25427,-1005,-3.8,14931,-733,-4.7
"울산광역시","제조업",7664,-191,-2.4,219,12,5.8,851,31,3.8,1988,-90,-4.3,2829,-69,-2.4,1777,-75,-4.0
"울산광역시","건설업",9207,33,0.4,259,26,11.2,879,5,0.6,2484,-7,-0.3,3583,-30,-0.8,2002,39,2.0
"울산광역시","도매 및 소매업",23204,-1123,-4.6,1305,93,7.7,4044,-21,-0.5,6440,-360,-5.3,6938,-454,-6.1,4477,-381,-7.8
"울산광역시","숙박 및 음식점업",17521,-428,-2.4,1229,10,0.8,2891,37,1.3,4364,-71,-1.6,5546,-220,-3.8,3491,-184,-5.0
"울산광역시","정보통신업",424,0,0.0,42,10,31.3,81,-31,-27.7,159,19,13.6,104,0,0.0,38,2,5.6
"울산광역시","부동산업",2795,-35,-1.2,57,16,39.0,207,-4,-1.9,712,-9,-1.2,1125,-7,-0.6,694,-31,-4.3
"울산광역시","전문과학기술서비스업",1691,-165,-8.9,77,8,11.6,280,-40,-12.5,638,-42,-6.2,486,-63,-11.5,210,-28,-11.8
"울산광역시","사업시설관리, 사업지원 및 임대 서비스업",2067,-256,-11.0,80,-23,-22.3,334,-41,-10.9,590,-82,-12.2,668,-58,-8.0,395,-52,-11.6
"울산광역시","교육 서비스업",4464,231,5.5,213,38,21.7,1129,76,7.2,1986,105,5.6,1001,16,1.6,135,-4,-2.9
"울산광역시","예술, 스포츠 및 여가관련 서비스업",2447,-88,-3.5,120,-9,-7.0,381,-21,-5.2,624,-21,-3.3,852,-30,-3.4,470,-7,-1.5
"울산광역시","협회 및 단체, 수리 및 기타 개인서비스업",8021,-126,-1.5,460,49,11.9,1467,44,3.1,2557,-117,-4.4,2295,-90,-3.8,1242,-12,-1.0
"세종특별자치시","전산업",20222,1006,5.2,1239,151,13.9,4259,279,7.0,6592,385,6.2,5215,113,2.2,2917,78,2.7
"세종특별자치시","제조업",1400,57,4.2,69,-8,-10.4,221,12,5.7,366,36,10.9,417,7,1.7,327,10,3.2
"세종특별자치시","건설업",2001,73,3.8,61,6,10.9,243,19,8.5,676,8,1.2,664,27,4.2,357,13,3.8
"세종특별자치시","도매 및 소매업",5640,340,6.4,404,84,26.3,1342,76,6.0,1802,148,8.9,1282,24,1.9,810,8,1.0
"세종특별자치시","숙박 및 음식점업",3864,89,2.4,348,31,9.8,821,54,7.0,1086,44,4.2,1000,-35,-3.4,609,-5,-0.8
"세종특별자치시","정보통신업",451,53,13.3,26,4,18.2,99,6,6.5,207,8,4.0,87,26,42.6,32,9,39.1
"세종특별자치시","부동산업",1553,48,3.2,34,8,30.8,99,-3,-2.9,455,27,6.3,640,11,1.7,325,5,1.6
"세종특별자치시","전문과학기술서비스업",568,36,6.8,31,5,19.2,158,10,6.8,240,2,0.8,105,13,14.1,34,6,21.4
"세종특별자치시","사업시설관리, 사업지원 및 임대 서비스업",580,-17,-2.8,23,-5,-17.9,145,-7,-4.6,170,-4,-2.3,157,-6,-3.7,85,5,6.3
"세종특별자치시","교육 서비스업",2042,240,13.3,132,13,10.9,648,88,15.7,878,101,13.0,326,24,7.9,58,14,31.8
"세종특별자치시","예술, 스포츠 및 여가관련 서비스업",592,62,11.7,30,-2,-6.3,139,11,8.6,193,27,16.3,166,24,16.9,64,2,3.2
"세종특별자치시","협회 및 단체, 수리 및 기타 개인서비스업",1531,25,1.7,81,15,22.7,344,13,3.9,519,-12,-2.3,371,-2,-0.5,216,11,5.4
"경기도","전산업",1019362,10410,1.0,56105,7339,15.0,172304,10934,6.8,294191,1814,0.6,319231,-5041,-1.6,177531,-4636,-2.5
"경기도","제조업",153684,-1022,-0.7,4423,185,4.4,15316,560,3.8,39186,116,0.3,58914,-902,-1.5,35845,-981,-2.7
"경기도","건설업",105890,2364,2.3,3446,462,15.5,10988,749,7.3,30461,556,1.9,40328,258,0.6,20667,339,1.7
"경기도","도매 및 소매업",329651,3598,1.1,23191,4047,21.1,65488,5394,9.0,96266,207,0.2,92950,-3496,-3.6,51756,-2554,-4.7
"경기도","숙박 및 음식점업",154020,1159,0.8,11605,865,8.1,28938,1538,5.6,38017,105,0.3,46601,-474,-1.0,28859,-875,-2.9
"경기도","정보통신업",21708,1181,5.8,1187,270,29.4,4240,511,13.7,8788,161,1.9,5728,199,3.6,1765,40,2.3
"경기도","부동산업",45789,2295,5.3,1042,450,76.0,3314,430,14.9,9720,539,5.9,17868,632,3.7,13845,244,1.8
"경기도","전문과학기술서비스업",26813,341,1.3,1627,249,18.1,5883,269,4.8,9838,-87,-0.9,6692,-106,-1.6,2773,16,0.6
"경기도","사업시설관리, 사업지원 및 임대 서비스업",29159,-2949,-9.2,1617,-269,-14.3,5652,-795,-12.3,9223,-896,-8.9,8523,-651,-7.1,4144,-338,-7.5
